artist,Gender ,Source 
Boj,Male,https://www.google.com/search?q=boj+nigerian+artist&sxsrf=AOaemvJs1WnjVj4oeftUjtUwVo8XdJBoug%3A1638268010547&ei=avylYYvmIJuHxc8Pmou4uAw&oq=boj+ni&gs_lcp=Cgdnd3Mtd2l6EAEYADIECAAQQzIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeOgcIABBHELADOgcIABCwAxBDOhAILhDHARDRAxDIAxCwAxBDOgoILhDIAxCwAxBDOgQILhBDOgoILhDHARCvARBDOgUILhCABEoECEEYAFChA1j7DWC3E2gBcAJ4AIABeIgBqAKSAQMyLjGYAQCgAQHIAQ_AAQE&sclient=gws-wiz
Boj,Male,https://www.google.com/search?q=boj+nigerian+artist&sxsrf=AOaemvJs1WnjVj4oeftUjtUwVo8XdJBoug%3A1638268010547&ei=avylYYvmIJuHxc8Pmou4uAw&oq=boj+ni&gs_lcp=Cgdnd3Mtd2l6EAEYADIECAAQQzIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeOgcIABBHELADOgcIABCwAxBDOhAILhDHARDRAxDIAxCwAxBDOgoILhDIAxCwAxBDOgQILhBDOgoILhDHARCvARBDOgUILhCABEoECEEYAFChA1j7DWC3E2gBcAJ4AIABeIgBqAKSAQMyLjGYAQCgAQHIAQ_AAQE&sclient=gws-wiz
Bracket,Male Group,https://en.wikipedia.org/wiki/Bracket_(music_group)
Bracket,Male Group,https://en.wikipedia.org/wiki/Bracket_(music_group)
Bracket,Male Group,https://en.wikipedia.org/wiki/Bracket_(music_group)
Bracket,Male Group,https://en.wikipedia.org/wiki/Bracket_(music_group)
Brymo,Male,https://www.google.com/search?q=brymo&oq=brymo+&aqs=chrome..69i57j46i67l3j0i67l2j0i512l2j46i512j0i271.1474j0j9&sourceid=chrome&ie=UTF-8
Burna Boy,Male,https://www.google.com/search?q=burna+boy+&sxsrf=AOaemvJx8YppTjsG9aWIJp3dgS069Q2OVg%3A1638269582796&ei=jgKmYen3L_yFhbIPwIWYmAQ&ved=0ahUKEwjp9pzk9b_0AhX8QkEAHcACBkMQ4dUDCA8&uact=5&oq=burna+boy+&gs_lcp=Cgdnd3Mtd2l6EAMyBQgAEJECMgQIABBDMgUIABCRAjIECAAQQzIECC4QQzIECC4QQzIFCC4QkQIyBQguEJECMgQILhBDMgQILhBDOgcIABBHELADOgoILhDIAxCwAxBDOgQIIxAnOgQILhAnOg4ILhCABBCxAxDHARCjAjoOCC4QgAQQsQMQxwEQ0QM6CwguEIAEEMcBEKMCOhEILhCABBCxAxCDARDHARCjAjoICAAQsQMQgwE6BwguELEDEEM6CAguEIAEELEDOgsILhCxAxDHARDRAzoICAAQgAQQsQM6BQgAEIAEOgUILhCABEoECEEYAFDhBVioFGDbFmgDcAJ4AIABaogBjwaSAQM5LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
Burna Boy,Male,https://www.google.com/search?q=burna+boy+&sxsrf=AOaemvJx8YppTjsG9aWIJp3dgS069Q2OVg%3A1638269582796&ei=jgKmYen3L_yFhbIPwIWYmAQ&ved=0ahUKEwjp9pzk9b_0AhX8QkEAHcACBkMQ4dUDCA8&uact=5&oq=burna+boy+&gs_lcp=Cgdnd3Mtd2l6EAMyBQgAEJECMgQIABBDMgUIABCRAjIECAAQQzIECC4QQzIECC4QQzIFCC4QkQIyBQguEJECMgQILhBDMgQILhBDOgcIABBHELADOgoILhDIAxCwAxBDOgQIIxAnOgQILhAnOg4ILhCABBCxAxDHARCjAjoOCC4QgAQQsQMQxwEQ0QM6CwguEIAEEMcBEKMCOhEILhCABBCxAxCDARDHARCjAjoICAAQsQMQgwE6BwguELEDEEM6CAguEIAEELEDOgsILhCxAxDHARDRAzoICAAQgAQQsQM6BQgAEIAEOgUILhCABEoECEEYAFDhBVioFGDbFmgDcAJ4AIABaogBjwaSAQM5LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
Burna Boy,Male,https://www.google.com/search?q=burna+boy+&sxsrf=AOaemvJx8YppTjsG9aWIJp3dgS069Q2OVg%3A1638269582796&ei=jgKmYen3L_yFhbIPwIWYmAQ&ved=0ahUKEwjp9pzk9b_0AhX8QkEAHcACBkMQ4dUDCA8&uact=5&oq=burna+boy+&gs_lcp=Cgdnd3Mtd2l6EAMyBQgAEJECMgQIABBDMgUIABCRAjIECAAQQzIECC4QQzIECC4QQzIFCC4QkQIyBQguEJECMgQILhBDMgQILhBDOgcIABBHELADOgoILhDIAxCwAxBDOgQIIxAnOgQILhAnOg4ILhCABBCxAxDHARCjAjoOCC4QgAQQsQMQxwEQ0QM6CwguEIAEEMcBEKMCOhEILhCABBCxAxCDARDHARCjAjoICAAQsQMQgwE6BwguELEDEEM6CAguEIAEELEDOgsILhCxAxDHARDRAzoICAAQgAQQsQM6BQgAEIAEOgUILhCABEoECEEYAFDhBVioFGDbFmgDcAJ4AIABaogBjwaSAQM5LjGYAQCgAQHIAQ7AAQE&sclient=gws-wiz
